idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
783,6,2,90,hard (5-6 steps),tiny (≤10),True,False,regressed,True,False,regressed,8.575053,7.427943,57.330597,49.25261
784,5,4,54,hard (5-6 steps),small (11-100),True,True,both_correct,False,False,both_wrong,10.538595,5.8679643,72.38385,35.368343
785,4,4,37,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,11.829407,7.328559,85.38044,48.65862
786,3,3,41,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.633664,10.068344,121.38584,66.95435
787,4,4,45,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.073634,9.577846,113.13511,62.175922
788,3,3,42,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,13.605765,7.9435077,81.203186,49.431953
789,3,3,68,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,11.575673,7.2048707,72.38507,45.285774
790,4,4,57,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,12.953321,8.748964,98.85121,57.57908
791,3,3,39,medium (3-4 steps),small (11-100),True,True,both_correct,False,True,recovered,12.180254,7.972084,100.34145,50.784733
792,2,2,44,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.475632,8.159708,88.04306,56.55494
793,5,5,52,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,13.334535,9.424494,85.35964,64.9509
794,2,2,32,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.000897,7.930626,82.275055,49.534378
795,3,3,46,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,10.423118,9.674848,82.05647,64.294556
796,7,6,48,very hard (7+ steps),large (>1K),False,False,both_wrong,False,False,both_wrong,10.878192,9.5054865,75.747925,67.24774
797,2,2,40,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.5561905,7.577563,92.22493,46.367317
798,5,4,83,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.456894,7.7263074,75.871574,58.618507
799,3,3,25,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,11.908669,7.371379,97.33699,45.578083
800,4,2,29,medium (3-4 steps),medium (101-1K),False,True,recovered,False,False,both_wrong,12.235125,8.425644,96.5906,56.24137
801,5,5,49,hard (5-6 steps),large (>1K),False,False,both_wrong,True,False,regressed,12.079644,8.3305855,86.90949,55.670948
802,6,2,49,hard (5-6 steps),tiny (≤10),True,False,regressed,False,False,both_wrong,13.603599,9.875188,92.32322,63.28842
803,4,4,51,medium (3-4 steps),tiny (≤10),False,False,both_wrong,True,True,both_correct,13.415034,9.999734,92.389465,60.759552
804,3,3,56,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,13.968589,8.460744,111.52176,54.16774
805,3,3,31,medium (3-4 steps),large (>1K),True,True,both_correct,True,True,both_correct,15.171794,8.286555,115.93724,60.492027
