group,label,source,step,count,mean_radius,std_radius,p25_radius,p50_radius,p75_radius
sircl_correct,+SIRCL correct,baseline,1,100,18.99492835998535,2.1396751403808594,17.13926887512207,19.060626983642578,20.591257095336914
sircl_correct,+SIRCL correct,baseline,2,100,14.797323226928711,2.609212636947632,12.912300109863281,14.319681167602539,16.46377182006836
sircl_correct,+SIRCL correct,baseline,3,100,12.188493728637695,2.0859313011169434,10.558377265930176,12.167438507080078,13.808099746704102
sircl_correct,+SIRCL correct,baseline,4,100,13.145895957946777,2.1351964473724365,11.522880554199219,13.218524932861328,14.63739013671875
sircl_correct,+SIRCL correct,baseline,5,100,11.955277442932129,3.266495943069458,9.605853080749512,11.312609672546387,13.706790924072266
sircl_correct,+SIRCL correct,baseline,6,100,10.34912395477295,2.165334939956665,8.619222640991211,10.221229553222656,11.924760818481445
sircl_correct,+SIRCL correct,baseline,7,100,10.55511474609375,2.6321980953216553,8.300943374633789,10.441791534423828,12.88212776184082
sircl_correct,+SIRCL correct,sircl,1,100,17.760147094726562,1.6080708503723145,16.55998420715332,17.762386322021484,18.550687789916992
sircl_correct,+SIRCL correct,sircl,2,100,7.595373153686523,2.0256857872009277,6.096885681152344,7.614816188812256,9.13553524017334
sircl_correct,+SIRCL correct,sircl,3,100,8.031534194946289,1.9143102169036865,6.698229789733887,8.047993659973145,9.16222858428955
sircl_correct,+SIRCL correct,sircl,4,100,7.124578475952148,1.6735265254974365,5.872837066650391,6.9771037101745605,8.190898895263672
sircl_correct,+SIRCL correct,sircl,5,100,6.624823570251465,1.3537646532058716,5.61924409866333,6.5113935470581055,7.427349090576172
sircl_correct,+SIRCL correct,sircl,6,100,5.866758823394775,1.3160730600357056,4.758083820343018,5.672909736633301,6.843991279602051
sircl_correct,+SIRCL correct,sircl,7,100,5.253227710723877,1.2741278409957886,4.140078067779541,5.21688175201416,6.1742706298828125
sircl_wrong,+SIRCL wrong,baseline,1,100,17.736312866210938,2.098330020904541,16.111486434936523,17.982227325439453,19.222122192382812
sircl_wrong,+SIRCL wrong,baseline,2,100,13.174256324768066,2.682389259338379,11.247434616088867,12.944610595703125,15.071146011352539
sircl_wrong,+SIRCL wrong,baseline,3,100,11.091936111450195,2.1852962970733643,9.865457534790039,10.961488723754883,12.529685974121094
sircl_wrong,+SIRCL wrong,baseline,4,100,10.999878883361816,2.4166953563690186,9.636129379272461,10.968871116638184,12.546896934509277
sircl_wrong,+SIRCL wrong,baseline,5,100,10.106313705444336,2.380031108856201,8.580896377563477,9.740694046020508,11.13589859008789
sircl_wrong,+SIRCL wrong,baseline,6,100,9.194646835327148,2.2523951530456543,7.615527153015137,9.020149230957031,10.452817916870117
sircl_wrong,+SIRCL wrong,baseline,7,100,8.864996910095215,2.5116846561431885,6.944122314453125,8.827670097351074,10.314529418945312
sircl_wrong,+SIRCL wrong,sircl,1,100,18.09223175048828,1.8191123008728027,17.024261474609375,17.931495666503906,18.993457794189453
sircl_wrong,+SIRCL wrong,sircl,2,100,6.990246772766113,2.5161993503570557,4.9280500411987305,6.563532829284668,8.78065299987793
sircl_wrong,+SIRCL wrong,sircl,3,100,7.389470100402832,2.278080463409424,5.331808090209961,7.5924506187438965,8.989788055419922
sircl_wrong,+SIRCL wrong,sircl,4,100,6.861450672149658,1.7264306545257568,5.691425323486328,6.729161739349365,7.9012451171875
sircl_wrong,+SIRCL wrong,sircl,5,100,6.847986221313477,1.6007919311523438,5.701485633850098,6.760315895080566,7.922677040100098
sircl_wrong,+SIRCL wrong,sircl,6,100,6.399392604827881,1.4995930194854736,5.36758279800415,6.096782684326172,7.2407121658325195
sircl_wrong,+SIRCL wrong,sircl,7,100,5.473927021026611,1.4227817058563232,4.2803449630737305,5.324736595153809,6.466487884521484
stable_correct,Both correct,baseline,1,100,18.937780380249023,2.2839901447296143,17.362281799316406,19.053678512573242,20.06475067138672
stable_correct,Both correct,baseline,2,100,14.772500038146973,2.6866934299468994,13.085138320922852,14.380805969238281,16.543973922729492
stable_correct,Both correct,baseline,3,100,11.790406227111816,2.1329500675201416,10.258842468261719,11.688657760620117,13.24079704284668
stable_correct,Both correct,baseline,4,100,13.466151237487793,2.152470350265503,12.126659393310547,13.560172080993652,14.990906715393066
stable_correct,Both correct,baseline,5,100,12.758099555969238,3.2734036445617676,10.247541427612305,12.560508728027344,15.266048431396484
stable_correct,Both correct,baseline,6,100,10.1318998336792,2.1240949630737305,8.876688003540039,9.940288543701172,11.502556800842285
stable_correct,Both correct,baseline,7,100,10.253853797912598,2.831923007965088,7.800523281097412,10.326231956481934,12.593466758728027
stable_correct,Both correct,sircl,1,100,18.116159439086914,1.243337631225586,17.327713012695312,18.195369720458984,18.98824691772461
stable_correct,Both correct,sircl,2,100,7.39896297454834,2.3651623725891113,5.553045272827148,7.218320846557617,9.23609733581543
stable_correct,Both correct,sircl,3,100,8.261653900146484,1.844050645828247,7.00707483291626,8.32722282409668,9.623979568481445
stable_correct,Both correct,sircl,4,100,7.0461297035217285,1.5569556951522827,5.872837066650391,6.974316596984863,7.98472785949707
stable_correct,Both correct,sircl,5,100,6.336861610412598,1.3519160747528076,5.424988269805908,6.065976619720459,7.096118927001953
stable_correct,Both correct,sircl,6,100,5.730053901672363,1.5370440483093262,4.719531536102295,5.25252628326416,6.588286876678467
stable_correct,Both correct,sircl,7,100,4.833968162536621,1.158607006072998,3.843973159790039,4.592213153839111,5.585888385772705
stable_wrong,Both wrong,baseline,1,100,17.40431022644043,1.9087098836898804,16.21375274658203,17.392108917236328,18.568464279174805
stable_wrong,Both wrong,baseline,2,100,13.098684310913086,2.520017385482788,11.210149765014648,12.683530807495117,14.612706184387207
stable_wrong,Both wrong,baseline,3,100,11.266837120056152,2.283137798309326,9.733572006225586,11.192766189575195,12.77108097076416
stable_wrong,Both wrong,baseline,4,100,10.653090476989746,2.404444694519043,9.074764251708984,10.716197967529297,11.622249603271484
stable_wrong,Both wrong,baseline,5,100,10.049033164978027,1.9581431150436401,9.26022720336914,9.971504211425781,11.107458114624023
stable_wrong,Both wrong,baseline,6,100,9.500970840454102,2.2675211429595947,7.99283504486084,9.445484161376953,10.679441452026367
stable_wrong,Both wrong,baseline,7,100,8.796550750732422,2.4043476581573486,6.914950370788574,8.8529052734375,10.155290603637695
stable_wrong,Both wrong,sircl,1,100,17.68250274658203,1.917130947113037,16.336660385131836,17.658689498901367,18.873788833618164
stable_wrong,Both wrong,sircl,2,100,7.4080634117126465,2.4458656311035156,5.26556396484375,7.368844032287598,9.206527709960938
stable_wrong,Both wrong,sircl,3,100,7.0488810539245605,2.405747413635254,5.174076080322266,6.902653694152832,8.693512916564941
stable_wrong,Both wrong,sircl,4,100,6.830745697021484,1.769158959388733,5.860780715942383,6.796935081481934,7.964719295501709
stable_wrong,Both wrong,sircl,5,100,7.363409519195557,1.7207456827163696,6.480509281158447,7.22538423538208,8.246710777282715
stable_wrong,Both wrong,sircl,6,100,6.801337718963623,1.594670295715332,5.70070743560791,6.535762786865234,7.92924165725708
stable_wrong,Both wrong,sircl,7,100,5.768972396850586,1.3612762689590454,4.947957515716553,5.729056358337402,6.750312805175781
recovered,Recovered by +SIRCL,baseline,1,100,17.859752655029297,2.2124521732330322,16.620830535888672,18.070507049560547,19.09202003479004
recovered,Recovered by +SIRCL,baseline,2,100,13.577712059020996,2.3667728900909424,11.895082473754883,13.504775047302246,15.165911674499512
recovered,Recovered by +SIRCL,baseline,3,100,11.293621063232422,2.057469129562378,9.805344581604004,11.062429428100586,12.756010055541992
recovered,Recovered by +SIRCL,baseline,4,100,11.257209777832031,2.522780179977417,9.682313919067383,11.156496047973633,12.365119934082031
recovered,Recovered by +SIRCL,baseline,5,100,9.997422218322754,2.151859998703003,8.505106925964355,9.874696731567383,11.103599548339844
recovered,Recovered by +SIRCL,baseline,6,100,9.230274200439453,1.7618571519851685,7.98702335357666,9.263843536376953,10.46341323852539
recovered,Recovered by +SIRCL,baseline,7,100,9.150101661682129,2.491966962814331,7.182891368865967,8.788520812988281,10.852012634277344
recovered,Recovered by +SIRCL,sircl,1,100,17.58942413330078,1.5839776992797852,16.4401798248291,17.69363784790039,18.432090759277344
recovered,Recovered by +SIRCL,sircl,2,100,7.388334274291992,2.169605016708374,5.726953983306885,6.96400260925293,9.37535285949707
recovered,Recovered by +SIRCL,sircl,3,100,7.237744331359863,2.0972838401794434,5.611419677734375,6.894346237182617,8.997374534606934
recovered,Recovered by +SIRCL,sircl,4,100,7.109951019287109,1.7935279607772827,5.85243034362793,6.972429275512695,7.944387912750244
recovered,Recovered by +SIRCL,sircl,5,100,7.094717025756836,1.576282262802124,5.962424278259277,6.7710065841674805,8.187895774841309
recovered,Recovered by +SIRCL,sircl,6,100,6.543759346008301,1.5747241973876953,5.324438095092773,6.510562896728516,7.55295467376709
recovered,Recovered by +SIRCL,sircl,7,100,5.5057477951049805,1.1548312902450562,4.569447040557861,5.5260009765625,6.222508907318115
regressed,Regressed with +SIRCL,baseline,1,80,18.006511688232422,2.0766050815582275,16.46691131591797,18.015609741210938,19.35426902770996
regressed,Regressed with +SIRCL,baseline,2,80,13.758590698242188,2.180006265640259,11.904777526855469,13.793553352355957,15.31092643737793
regressed,Regressed with +SIRCL,baseline,3,80,11.274879455566406,2.0008630752563477,10.179722785949707,11.480451583862305,12.68172836303711
regressed,Regressed with +SIRCL,baseline,4,80,11.832093238830566,2.1556026935577393,10.40077018737793,11.580509185791016,13.151765823364258
regressed,Regressed with +SIRCL,baseline,5,80,10.325363159179688,2.2352700233459473,8.83073902130127,9.857353210449219,11.220174789428711
regressed,Regressed with +SIRCL,baseline,6,80,9.821760177612305,2.1838173866271973,8.332768440246582,9.640447616577148,11.174899101257324
regressed,Regressed with +SIRCL,baseline,7,80,9.798439025878906,2.463695526123047,8.094892501831055,9.460960388183594,11.00795841217041
regressed,Regressed with +SIRCL,sircl,1,80,18.516515731811523,1.9527899026870728,17.598472595214844,18.602930068969727,19.466690063476562
regressed,Regressed with +SIRCL,sircl,2,80,7.596209526062012,2.3397552967071533,5.803822994232178,7.381594657897949,8.987668991088867
regressed,Regressed with +SIRCL,sircl,3,80,7.3876051902771,1.9535439014434814,5.988731861114502,7.415639877319336,8.823925018310547
regressed,Regressed with +SIRCL,sircl,4,80,7.204371452331543,1.6016234159469604,6.259547233581543,6.979508399963379,7.954642295837402
regressed,Regressed with +SIRCL,sircl,5,80,6.638084411621094,1.2491527795791626,5.755902290344238,6.604778289794922,7.67557430267334
regressed,Regressed with +SIRCL,sircl,6,80,6.141424179077148,1.2432433366775513,5.384357452392578,6.086440086364746,7.0303874015808105
regressed,Regressed with +SIRCL,sircl,7,80,5.368514060974121,1.1356230974197388,4.5064287185668945,5.144527912139893,6.283060550689697
